"","TRASH consistency","TRASH automaticity","RRS total","RRS depression","RRS brooding","RRS reflection","SARI anger","SARI sadness","rumVAS frequency","rumVAS control","rumVAS duration","rumVAS distress","PSWQ total","CDRS total","SCARED total","SCARED panic","SCARED GAD","SCARED sep anx","SCARED social anx","SCARED school avoid","MEAQ-A dis aver","MEAQ-A dis supress","MEAQ-A repress deny","MEAQ-A repress deny eff","MWDS deliberate","MWDS spontaneous","BIS total","UPPS-P-C lack premed","UPPS-P-C neg urgency","UPPS-P-C sen seeking","UPPS-P-C lack perserve","UPPS-P-C pos urgency"
"TRASH consistency",1,0.58,0.53,0.51,0.37,0.46,0.42,0.54,0.37,0.16,0.22,0.33,0.55,0.18,0.53,0.47,0.5,0.17,0.38,0.44,0.11,0.08,0.38,0.27,0.12,0.18,0.16,-0.11,0,0.01,0.15,-0.02
"TRASH automaticity",0.58,1,0.6,0.53,0.56,0.46,0.33,0.63,0.49,0.25,0.36,0.53,0.69,0.3,0.57,0.57,0.57,0.17,0.36,0.37,0.32,0.13,0.41,0.11,0.24,0.21,0.19,-0.05,0.1,0.02,0.08,0.01
"RRS total",0.53,0.6,1,0.93,0.89,0.71,0.49,0.63,0.42,0.26,0.22,0.4,0.59,0.34,0.55,0.52,0.6,0.21,0.26,0.45,0.33,0.17,0.41,0.16,0.18,0.31,0.4,0.08,0.22,0.03,0,0.17
"RRS depression",0.51,0.53,0.93,1,0.74,0.47,0.44,0.55,0.35,0.31,0.25,0.35,0.51,0.32,0.49,0.43,0.53,0.19,0.23,0.47,0.34,0.09,0.41,0.21,0.2,0.36,0.31,0.14,0.2,0.04,0.08,0.16
"RRS brooding",0.37,0.56,0.89,0.74,1,0.59,0.47,0.66,0.37,0.23,0.23,0.38,0.59,0.34,0.53,0.5,0.59,0.21,0.24,0.4,0.4,0.2,0.35,0.04,0.12,0.26,0.49,0.06,0.29,0.07,-0.06,0.18
"RRS reflection",0.46,0.46,0.71,0.47,0.59,1,0.34,0.44,0.4,0.04,0.02,0.31,0.46,0.21,0.41,0.43,0.44,0.14,0.2,0.21,0.06,0.2,0.26,0.1,0.11,0.09,0.3,-0.09,0.03,-0.02,-0.11,0.06
"SARI anger",0.42,0.33,0.49,0.44,0.47,0.34,1,0.56,0.18,0.17,0.32,0.31,0.38,0,0.37,0.32,0.32,0.16,0.28,0.28,0.33,0.16,0.37,0.07,0.12,0.31,0.37,0.17,0.48,0.13,-0.02,0.26
"SARI sadness",0.54,0.63,0.63,0.55,0.66,0.44,0.56,1,0.49,0.26,0.36,0.54,0.63,0.24,0.51,0.51,0.49,0.17,0.29,0.42,0.44,0.17,0.44,0.11,0.2,0.31,0.4,0.13,0.37,0.1,0.06,0.29
"rumVAS frequency",0.37,0.49,0.42,0.35,0.37,0.4,0.18,0.49,1,0.06,0.12,0.35,0.48,0.28,0.39,0.46,0.34,0.24,0.09,0.27,0.19,0.12,0.19,0.08,0.39,0.23,0.06,-0.08,0.05,-0.02,0.16,0.06
"rumVAS control",0.16,0.25,0.26,0.31,0.23,0.04,0.17,0.26,0.06,1,0.27,0.36,0.3,0.15,0.19,0.16,0.23,0.19,0.02,0.14,0.41,0.1,0.17,0.16,0.05,0.24,0.19,0.11,0.08,0.01,0.07,0.03
"rumVAS duration",0.22,0.36,0.22,0.25,0.23,0.02,0.32,0.36,0.12,0.27,1,0.56,0.29,0.18,0.22,0.29,0.18,0.03,0.09,0.21,0.24,0.06,0.29,0.24,0.06,0.2,-0.05,0.06,0.21,0.17,0.01,0.15
"rumVAS distress",0.33,0.53,0.4,0.35,0.38,0.31,0.31,0.54,0.35,0.36,0.56,1,0.42,0.21,0.29,0.4,0.28,0.04,0.06,0.22,0.38,0.23,0.27,0.18,-0.02,0.09,0.04,0.06,0.22,0.12,0.07,0.1
"PSWQ total",0.55,0.69,0.59,0.51,0.59,0.46,0.38,0.63,0.48,0.3,0.29,0.42,1,0.2,0.7,0.58,0.76,0.34,0.42,0.49,0.32,0.14,0.35,0.06,0.25,0.29,0.37,-0.05,0.21,0.1,-0.01,0.11
"CDRS total",0.18,0.3,0.34,0.32,0.34,0.21,0,0.24,0.28,0.15,0.18,0.21,0.2,1,0.32,0.31,0.27,0.21,0.14,0.28,0.03,0.03,0.17,0.1,0.12,0.13,0.05,-0.13,-0.04,-0.11,0.01,-0.06
"SCARED total",0.53,0.57,0.55,0.49,0.53,0.41,0.37,0.51,0.39,0.19,0.22,0.29,0.7,0.32,1,0.86,0.79,0.68,0.69,0.73,0.35,0.21,0.42,0.06,0.22,0.35,0.38,-0.06,0.27,-0.11,0.03,0.1
"SCARED panic",0.47,0.57,0.52,0.43,0.5,0.43,0.32,0.51,0.46,0.16,0.29,0.4,0.58,0.31,0.86,1,0.59,0.51,0.39,0.54,0.33,0.23,0.35,0.06,0.24,0.34,0.23,-0.12,0.24,-0.01,-0.09,0.13
"SCARED GAD",0.5,0.57,0.6,0.53,0.59,0.44,0.32,0.49,0.34,0.23,0.18,0.28,0.76,0.27,0.79,0.59,1,0.37,0.47,0.49,0.17,0,0.28,0.01,0.16,0.24,0.37,-0.01,0.18,0.03,0.09,0.05
"SCARED sep anx",0.17,0.17,0.21,0.19,0.21,0.14,0.16,0.17,0.24,0.19,0.03,0.04,0.34,0.21,0.68,0.51,0.37,1,0.29,0.43,0.26,0.21,0.31,0.15,0.14,0.26,0.23,-0.05,0.13,-0.18,-0.09,0.05
"SCARED social anx",0.38,0.36,0.26,0.23,0.24,0.2,0.28,0.29,0.09,0.02,0.09,0.06,0.42,0.14,0.69,0.39,0.47,0.29,1,0.5,0.23,0.2,0.32,-0.1,0.09,0.18,0.38,-0.07,0.16,-0.22,0.17,-0.01
"SCARED school avoid",0.44,0.37,0.45,0.47,0.4,0.21,0.28,0.42,0.27,0.14,0.21,0.22,0.49,0.28,0.73,0.54,0.49,0.43,0.5,1,0.35,0.12,0.37,0.18,0.17,0.32,0.2,0.11,0.34,-0.08,0.13,0.16
"MEAQ-A dis aver",0.11,0.32,0.33,0.34,0.4,0.06,0.33,0.44,0.19,0.41,0.24,0.38,0.32,0.03,0.35,0.33,0.17,0.26,0.23,0.35,1,0.37,0.32,0.06,0.09,0.25,0.3,0.09,0.35,-0.05,0.12,0.22
"MEAQ-A dis supress",0.08,0.13,0.17,0.09,0.2,0.2,0.16,0.17,0.12,0.1,0.06,0.23,0.14,0.03,0.21,0.23,0,0.21,0.2,0.12,0.37,1,0.17,0.12,-0.07,0.13,0.09,-0.06,0.08,-0.21,-0.06,-0.09
"MEAQ-A repress deny",0.38,0.41,0.41,0.41,0.35,0.26,0.37,0.44,0.19,0.17,0.29,0.27,0.35,0.17,0.42,0.35,0.28,0.31,0.32,0.37,0.32,0.17,1,0.33,0.24,0.34,0.21,0.21,0.17,0.07,0.22,0.17
"MEAQ-A repress deny eff",0.27,0.11,0.16,0.21,0.04,0.1,0.07,0.11,0.08,0.16,0.24,0.18,0.06,0.1,0.06,0.06,0.01,0.15,-0.1,0.18,0.06,0.12,0.33,1,0.05,0.08,-0.09,0.02,-0.02,-0.01,0.11,0
"MWDS deliberate",0.12,0.24,0.18,0.2,0.12,0.11,0.12,0.2,0.39,0.05,0.06,-0.02,0.25,0.12,0.22,0.24,0.16,0.14,0.09,0.17,0.09,-0.07,0.24,0.05,1,0.52,0.11,0,0.02,0.02,0.08,0.04
"MWDS spontaneous",0.18,0.21,0.31,0.36,0.26,0.09,0.31,0.31,0.23,0.24,0.2,0.09,0.29,0.13,0.35,0.34,0.24,0.26,0.18,0.32,0.25,0.13,0.34,0.08,0.52,1,0.2,0.3,0.19,0.02,0.17,0.25
"BIS total",0.16,0.19,0.4,0.31,0.49,0.3,0.37,0.4,0.06,0.19,-0.05,0.04,0.37,0.05,0.38,0.23,0.37,0.23,0.38,0.2,0.3,0.09,0.21,-0.09,0.11,0.2,1,0.14,0.28,-0.19,0.05,0.25
"UPPS-P-C lack premed",-0.11,-0.05,0.08,0.14,0.06,-0.09,0.17,0.13,-0.08,0.11,0.06,0.06,-0.05,-0.13,-0.06,-0.12,-0.01,-0.05,-0.07,0.11,0.09,-0.06,0.21,0.02,0,0.3,0.14,1,0.39,0.08,0.48,0.51
"UPPS-P-C neg urgency",0,0.1,0.22,0.2,0.29,0.03,0.48,0.37,0.05,0.08,0.21,0.22,0.21,-0.04,0.27,0.24,0.18,0.13,0.16,0.34,0.35,0.08,0.17,-0.02,0.02,0.19,0.28,0.39,1,0.14,0.05,0.6
"UPPS-P-C sen seeking",0.01,0.02,0.03,0.04,0.07,-0.02,0.13,0.1,-0.02,0.01,0.17,0.12,0.1,-0.11,-0.11,-0.01,0.03,-0.18,-0.22,-0.08,-0.05,-0.21,0.07,-0.01,0.02,0.02,-0.19,0.08,0.14,1,-0.23,0.24
"UPPS-P-C lack perserve",0.15,0.08,0,0.08,-0.06,-0.11,-0.02,0.06,0.16,0.07,0.01,0.07,-0.01,0.01,0.03,-0.09,0.09,-0.09,0.17,0.13,0.12,-0.06,0.22,0.11,0.08,0.17,0.05,0.48,0.05,-0.23,1,0.07
"UPPS-P-C pos urgency",-0.02,0.01,0.17,0.16,0.18,0.06,0.26,0.29,0.06,0.03,0.15,0.1,0.11,-0.06,0.1,0.13,0.05,0.05,-0.01,0.16,0.22,-0.09,0.17,0,0.04,0.25,0.25,0.51,0.6,0.24,0.07,1
